datetime,value,flag,location_id,parameter_id
2018-09-14 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-15 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-16 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-17 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-18 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-19 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-20 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-21 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-22 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-23 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-24 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-25 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-26 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-27 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-28 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-29 23:00:00,0.0,0,KW431013,Q.B.d
2018-09-30 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-01 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-02 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-03 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-04 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-05 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-06 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-07 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-08 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-09 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-10 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-11 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-12 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-13 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-14 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-15 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-16 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-17 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-18 23:00:00,0.0001,0,KW431013,Q.B.d
2018-10-19 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-20 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-21 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-22 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-23 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-24 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-25 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-26 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-27 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-28 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-29 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-30 23:00:00,0.0,0,KW431013,Q.B.d
2018-10-31 23:00:00,0.0,0,KW431013,Q.B.d
2018-11-01 23:00:00,0.0,0,KW431013,Q.B.d
2018-11-02 23:00:00,0.0,0,KW431013,Q.B.d
2018-11-03 23:00:00,0.0,0,KW431013,Q.B.d
2018-11-04 23:00:00,0.0,0,KW431013,Q.B.d
2018-11-05 23:00:00,0.0,0,KW431013,Q.B.d
2018-11-06 23:00:00,0.0,0,KW431013,Q.B.d
2018-11-07 23:00:00,0.0,0,KW431013,Q.B.d
2018-11-08 23:00:00,0.0,0,KW431013,Q.B.d
2018-11-09 23:00:00,0.0,0,KW431013,Q.B.d
2018-11-10 23:00:00,0.0,0,KW431013,Q.B.d
2018-11-11 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-02 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-03 23:00:00,0.1721,0,KW431013,Q.B.d
2019-04-04 23:00:00,0.0928,0,KW431013,Q.B.d
2019-04-05 23:00:00,0.0932,0,KW431013,Q.B.d
2019-04-06 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-07 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-08 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-09 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-10 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-11 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-12 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-13 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-14 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-15 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-16 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-17 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-18 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-19 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-20 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-21 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-22 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-23 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-24 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-25 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-26 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-27 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-28 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-29 23:00:00,0.0,0,KW431013,Q.B.d
2019-04-30 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-01 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-02 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-03 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-04 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-05 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-06 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-07 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-08 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-09 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-10 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-11 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-12 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-13 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-14 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-15 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-16 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-17 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-18 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-19 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-20 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-21 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-22 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-23 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-24 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-25 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-26 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-27 23:00:00,0.0139,0,KW431013,Q.B.d
2019-05-28 23:00:00,0.1584,0,KW431013,Q.B.d
2019-05-29 23:00:00,0.0761,0,KW431013,Q.B.d
2019-05-30 23:00:00,0.0,0,KW431013,Q.B.d
2019-05-31 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-01 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-02 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-03 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-04 23:00:00,0.0138,0,KW431013,Q.B.d
2019-06-05 23:00:00,0.002,0,KW431013,Q.B.d
2019-06-06 23:00:00,0.4449,0,KW431013,Q.B.d
2019-06-07 23:00:00,0.1757,0,KW431013,Q.B.d
2019-06-08 23:00:00,0.0799,0,KW431013,Q.B.d
2019-06-09 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-10 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-11 23:00:00,0.0464,0,KW431013,Q.B.d
2019-06-12 23:00:00,0.2254,0,KW431013,Q.B.d
2019-06-13 23:00:00,0.1671,0,KW431013,Q.B.d
2019-06-14 23:00:00,0.1217,0,KW431013,Q.B.d
2019-06-15 23:00:00,0.3715,0,KW431013,Q.B.d
2019-06-16 23:00:00,0.202,0,KW431013,Q.B.d
2019-06-17 23:00:00,0.1195,0,KW431013,Q.B.d
2019-06-18 23:00:00,0.0628,0,KW431013,Q.B.d
2019-06-19 23:00:00,0.0163,0,KW431013,Q.B.d
2019-06-20 23:00:00,0.1348,0,KW431013,Q.B.d
2019-06-21 23:00:00,0.0616,0,KW431013,Q.B.d
2019-06-22 23:00:00,0.0626,0,KW431013,Q.B.d
2019-06-23 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-24 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-25 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-26 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-27 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-28 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-29 23:00:00,0.0,0,KW431013,Q.B.d
2019-06-30 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-01 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-02 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-03 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-04 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-05 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-06 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-07 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-08 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-09 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-10 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-11 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-12 23:00:00,0.1444,0,KW431013,Q.B.d
2019-07-13 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-14 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-15 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-16 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-17 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-18 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-19 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-20 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-21 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-22 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-23 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-24 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-25 23:00:00,0.1652,0,KW431013,Q.B.d
2019-07-26 23:00:00,0.1391,0,KW431013,Q.B.d
2019-07-27 23:00:00,0.1383,0,KW431013,Q.B.d
2019-07-28 23:00:00,0.2032,0,KW431013,Q.B.d
2019-07-29 23:00:00,0.0972,0,KW431013,Q.B.d
2019-07-30 23:00:00,0.0,0,KW431013,Q.B.d
2019-07-31 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-01 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-02 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-03 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-04 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-05 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-06 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-07 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-08 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-09 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-10 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-11 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-12 23:00:00,0.0161,0,KW431013,Q.B.d
2019-08-13 23:00:00,0.2457,0,KW431013,Q.B.d
2019-08-14 23:00:00,0.1238,0,KW431013,Q.B.d
2019-08-15 23:00:00,0.078,0,KW431013,Q.B.d
2019-08-16 23:00:00,0.0608,0,KW431013,Q.B.d
2019-08-17 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-18 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-19 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-20 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-21 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-22 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-23 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-24 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-25 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-26 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-27 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-28 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-29 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-30 23:00:00,0.0,0,KW431013,Q.B.d
2019-08-31 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-01 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-02 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-03 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-04 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-05 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-06 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-07 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-08 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-09 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-10 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-11 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-12 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-13 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-14 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-15 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-16 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-17 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-18 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-19 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-20 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-21 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-22 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-23 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-24 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-25 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-26 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-27 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-28 23:00:00,0.0,0,KW431013,Q.B.d
2019-09-29 23:00:00,0.0135,0,KW431013,Q.B.d
2019-09-30 23:00:00,0.4821,0,KW431013,Q.B.d
2019-10-01 23:00:00,0.4813,0,KW431013,Q.B.d
2019-10-02 23:00:00,0.6378,0,KW431013,Q.B.d
2019-10-03 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-04 23:00:00,0.5466,0,KW431013,Q.B.d
2019-10-05 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-06 23:00:00,0.268,0,KW431013,Q.B.d
2019-10-07 23:00:00,0.2435,0,KW431013,Q.B.d
2019-10-08 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-09 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-10 23:00:00,0.5636,0,KW431013,Q.B.d
2019-10-11 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-12 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-13 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-14 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-15 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-16 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-17 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-18 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-19 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-20 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-21 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-22 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-23 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-24 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-25 23:00:00,0.0169,0,KW431013,Q.B.d
2019-10-26 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-27 23:00:00,0.0956,0,KW431013,Q.B.d
2019-10-28 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-29 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-30 23:00:00,0.0,0,KW431013,Q.B.d
2019-10-31 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-01 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-02 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-03 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-04 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-05 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-06 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-07 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-08 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-09 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-10 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-11 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-12 23:00:00,0.522,0,KW431013,Q.B.d
2019-11-13 23:00:00,1.0732,0,KW431013,Q.B.d
2019-11-14 23:00:00,1.1133,0,KW431013,Q.B.d
2019-11-15 23:00:00,0.0696,0,KW431013,Q.B.d
2019-11-16 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-17 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-18 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-19 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-20 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-21 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-22 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-23 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-24 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-25 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-26 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-27 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-28 23:00:00,0.097,0,KW431013,Q.B.d
2019-11-29 23:00:00,0.0,0,KW431013,Q.B.d
2019-11-30 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-01 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-02 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-03 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-04 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-05 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-06 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-07 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-08 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-09 23:00:00,0.4325,0,KW431013,Q.B.d
2019-12-10 23:00:00,0.1624,0,KW431013,Q.B.d
2019-12-11 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-12 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-13 23:00:00,0.4999,0,KW431013,Q.B.d
2019-12-14 23:00:00,0.0348,0,KW431013,Q.B.d
2019-12-15 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-16 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-17 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-18 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-19 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-20 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-21 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-22 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-23 23:00:00,0.3625,0,KW431013,Q.B.d
2019-12-24 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-25 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-26 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-27 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-28 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-29 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-30 23:00:00,0.0,0,KW431013,Q.B.d
2019-12-31 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-01 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-02 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-03 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-04 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-05 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-06 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-07 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-08 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-09 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-10 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-11 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-12 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-13 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-14 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-15 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-16 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-17 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-18 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-19 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-20 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-21 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-22 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-23 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-24 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-25 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-26 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-27 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-28 23:00:00,0.3726,0,KW431013,Q.B.d
2020-01-29 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-30 23:00:00,0.0,0,KW431013,Q.B.d
2020-01-31 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-01 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-02 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-03 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-04 23:00:00,0.333,0,KW431013,Q.B.d
2020-02-05 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-06 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-07 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-08 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-09 23:00:00,0.0091,0,KW431013,Q.B.d
2020-02-10 23:00:00,0.2769,0,KW431013,Q.B.d
2020-02-11 23:00:00,0.2754,0,KW431013,Q.B.d
2020-02-12 23:00:00,0.0696,0,KW431013,Q.B.d
2020-02-13 23:00:00,0.2707,0,KW431013,Q.B.d
2020-02-14 23:00:00,0.3827,0,KW431013,Q.B.d
2020-02-15 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-16 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-17 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-18 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-19 23:00:00,0.6637,0,KW431013,Q.B.d
2020-02-20 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-21 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-22 23:00:00,0.0,0,KW431013,Q.B.d
2020-02-23 23:00:00,0.6701,0,KW431013,Q.B.d
2020-02-24 23:00:00,0.5729,0,KW431013,Q.B.d
2020-02-25 23:00:00,0.0677,0,KW431013,Q.B.d
2020-02-26 23:00:00,0.505,0,KW431013,Q.B.d
2020-02-27 23:00:00,0.2151,0,KW431013,Q.B.d
2020-02-28 23:00:00,0.3247,0,KW431013,Q.B.d
2020-02-29 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-01 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-02 23:00:00,0.284,0,KW431013,Q.B.d
2020-03-03 23:00:00,0.2087,0,KW431013,Q.B.d
2020-03-04 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-05 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-06 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-07 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-08 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-09 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-10 23:00:00,0.3638,0,KW431013,Q.B.d
2020-03-11 23:00:00,0.5451,0,KW431013,Q.B.d
2020-03-12 23:00:00,0.2905,0,KW431013,Q.B.d
2020-03-13 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-14 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-15 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-16 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-17 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-18 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-19 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-20 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-21 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-22 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-23 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-24 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-25 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-26 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-27 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-28 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-29 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-30 23:00:00,0.0,0,KW431013,Q.B.d
2020-03-31 23:00:00,0.0,0,KW431013,Q.B.d
2020-11-30 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-01 23:00:00,0.7198,0,KW431013,Q.B.d
2020-12-02 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-03 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-04 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-05 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-06 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-07 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-08 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-09 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-10 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-11 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-12 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-13 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-14 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-15 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-16 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-17 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-18 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-19 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-20 23:00:00,0.0,0,KW431013,Q.B.d
2020-12-21 23:00:00,0.0283,0,KW431013,Q.B.d
2020-12-22 23:00:00,0.5943,0,KW431013,Q.B.d
2020-12-23 23:00:00,1.1133,0,KW431013,Q.B.d
